Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name
01/01/2023,00:00,417831169,4166,2870,,Pets at Home
01/01/2023,00:00,417831169,1866,-2300,684967752,
01/01/2023,00:00,684967752,3296,2300,417831169,
01/01/2023,00:00,619428091,2980,1596,,Happy Days Home
01/01/2023,00:00,658100753,3904,2870,,Pets Corner
01/01/2023,00:00,266056908,3244,1712,,Kew House
01/01/2023,00:00,313806474,5065,3687,,Halifax
01/01/2023,00:00,313806474,4165,-900,213904562,
01/01/2023,00:00,213904562,2876,900,313806474,
01/01/2023,00:00,618363727,4149,2490,,Amazon
01/01/2023,00:00,684967752,2555,-741,,LBG
01/01/2023,00:00,157033995,959,-738,,Halifax
01/01/2023,00:00,835307842,693,-780,,Halifax
01/01/2023,00:00,189418402,649,-741,,Halifax
01/01/2023,00:00,235567196,-147,-898,,Halifax
01/01/2023,00:00,916374214,596,-750,,LBG
01/01/2023,00:00,313806474,3263,-902,,LBG
01/01/2023,00:00,618363727,3323,-826,,Halifax
01/01/2023,00:00,938302791,169,-719,,Halifax
01/01/2023,00:00,710597922,850,-695,,Halifax
01/01/2023,00:00,417831169,1860.01,-5.99,,Mojang Studios
01/01/2023,00:00,417831169,1847.02,-12.99,,SquareOnix
01/01/2023,00:00,684967752,2540.01,-14.99,,Blizzard
01/01/2023,00:00,157033995,952,-7,,Xbox
01/01/2023,00:00,157033995,945,-7,,Xbox
01/01/2023,00:00,157033995,930.01,-14.99,,Blizzard
01/01/2023,00:00,157033995,924.02,-5.99,,Mojang Studios
01/01/2023,00:00,157033995,824.02,-100,,Grand Union BJJ
01/01/2023,00:00,157033995,808.03,-15.99,,Netflix
01/01/2023,00:00,619428091,2972.01,-7.99,,Amazon
01/01/2023,00:00,835307842,685.01,-7.99,,Disney
01/01/2023,00:00,835307842,679.02,-5.99,,Mojang Studios
01/01/2023,00:00,835307842,673.03,-5.99,,Mojang Studios
01/01/2023,00:00,835307842,660.04,-12.99,,SquareOnix
01/01/2023,00:00,835307842,653.04,-7,,Xbox
01/01/2023,00:00,835307842,634.05,-18.99,,PureGym
01/01/2023,00:00,835307842,534.05,-100,,Grand Union BJJ
01/01/2023,00:00,778200498,1317.01,-15.99,,Netflix
01/01/2023,00:00,778200498,1298.02,-18.99,,PureGym
01/01/2023,00:00,778200498,1285.03,-12.99,,SquareOnix
01/01/2023,00:00,778200498,1270.04,-14.99,,Blizzard
01/01/2023,00:00,778200498,1263.04,-7,,Xbox
01/01/2023,00:00,778200498,1250.05,-12.99,,SquareOnix
01/01/2023,00:00,778200498,1150.05,-100,,Grand Union BJJ
01/01/2023,00:00,658100753,3885.01,-18.99,,PureGym
01/01/2023,00:00,189418402,630.01,-18.99,,PureGym
01/01/2023,00:00,189418402,617.02,-12.99,,SquareOnix
01/01/2023,00:00,189418402,610.02,-7,,Xbox
01/01/2023,00:00,189418402,603.02,-7,,Xbox
01/01/2023,00:00,189418402,596.02,-7,,Xbox
01/01/2023,00:00,189418402,580.03,-15.99,,Netflix
01/01/2023,00:00,189418402,572.04,-7.99,,Disney
01/01/2023,00:00,235567196,-165.99,-18.99,,PureGym
01/01/2023,00:00,235567196,-181.98,-15.99,,Netflix
01/01/2023,00:00,235567196,-189.97,-7.99,,Amazon
01/01/2023,00:00,235567196,-202.96,-12.99,,SquareOnix
01/01/2023,00:00,235567196,-208.95,-5.99,,Mojang Studios
01/01/2023,00:00,235567196,-223.94,-14.99,,Blizzard
01/01/2023,00:00,235567196,-323.94,-100,,Grand Union BJJ
01/01/2023,00:00,618747955,955.01,-18.99,,PureGym
01/01/2023,00:00,618747955,942.02,-12.99,,SquareOnix
01/01/2023,00:00,618747955,929.03,-12.99,,SquareOnix
01/01/2023,00:00,618747955,923.04,-5.99,,Mojang Studios
01/01/2023,00:00,618747955,907.05,-15.99,,Netflix
01/01/2023,00:00,618747955,807.05,-100,,Grand Union BJJ
01/01/2023,00:00,916374214,580.01,-15.99,,Netflix
01/01/2023,00:00,916374214,572.02,-7.99,,Amazon
01/01/2023,00:00,916374214,553.03,-18.99,,PureGym
01/01/2023,00:00,916374214,547.04,-5.99,,Mojang Studios
01/01/2023,00:00,916374214,541.05,-5.99,,Mojang Studios
01/01/2023,00:00,916374214,528.06,-12.99,,SquareOnix
01/01/2023,00:00,266056908,3228.01,-15.99,,Netflix
01/01/2023,00:00,266056908,3220.02,-7.99,,Disney
01/01/2023,00:00,266056908,3201.03,-18.99,,PureGym
01/01/2023,00:00,213904562,2776,-100,,Grand Union BJJ
01/01/2023,00:00,213904562,2760.01,-15.99,,Netflix
01/01/2023,00:00,213904562,2741.02,-18.99,,PureGym
01/01/2023,00:00,213904562,2735.03,-5.99,,Mojang Studios
01/01/2023,00:00,213904562,2729.04,-5.99,,Mojang Studios
01/01/2023,00:00,213904562,2722.04,-7,,Xbox
01/01/2023,00:00,213904562,2709.05,-12.99,,SquareOnix
01/01/2023,00:00,313806474,3163,-100,,Grand Union BJJ
01/01/2023,00:00,313806474,3147.01,-15.99,,Netflix
